UniqueID,3_S3_R1,3-Pur_S17_R1,3_S3_R2,3-Pur_S17_R2,2_S2_R1,2_S2_R2,2-Pur_S16_R1,2-Pur_S16_R2,Undetermined_S0_R2,Undetermined_S0_R1,4_S4_R1,4-Pur_S18_R1,4_S4_R2,4-Pur_S18_R2,60-Pur_S26_R1,60-Pur_S26_R2,60_S12_R1,60_S12_R2,56_S11_R1,56_S11_R2,56-Pur_S25_R1,56-Pur_S25_R2,62-Pur_S27_R2,62-Pur_S27_R1,62_S13_R1,62_S13_R2,1_S1_R2,1_S1_R1,1-Pur_S15_R1,1-Pur_S15_R2,44_S8_R1,44_S8_R2,44-Pur_S22_R1,44-Pur_S22_R2,24-Pur_S20_R1,24_S6_R1,24_S6_R2,24-Pur_S20_R2,14-Pur_S19_R2,14-Pur_S19_R1,14_S5_R2,14_S5_R1,34-Pur_S21_R2,34-Pur_S21_R1,34_S7_R2,34_S7_R1,52_S10_R2,52_S10_R1,52-Pur_S24_R2,52-Pur_S24_R1,48_S9_R2,48_S9_R1,48-Pur_S23_R2,48-Pur_S23_R1,Ctl_S14_R1,Ctl_S14_R2,Ctl-Pur_S28_R1,Ctl-Pur_S28_R2
1224:Proteobacteria,2064,1745,2241,1748,2057,1920,1015,982,1137,1391,12883,8756,12269,8522,4681,4504,3312,3140,4765,4510,3814,3509,2161,2395,1650,1409,3149,3407,2191,1884,3261,2967,1666,1640,2667,2587,2479,2346,351,379,359,372,279,341,309,348,265,281,255,264,749,852,532,523,27,41,14,13
1091495:Taylorella asinigenitalis 14/45,3809,3203,2952,2820,802,763,314,302,1032,1252,8649,5803,7682,5034,5587,4810,4533,3898,5400,5007,3184,2833,2101,2583,1858,1654,1740,1984,1180,936,4037,3745,2007,1717,5490,7510,7230,5096,0,0,0,0,0,0,0,0,0,0,0,0,972,1161,653,807,550,402,151,48
667019:Curvibacter putative symbiont of Hydra magnipapillata,23470,16060,15226,12594,33,22,28,16,1010,1554,16098,11956,15061,11273,263,294,165,180,233,213,203,210,402,672,475,302,94,130,76,62,1022,806,518,402,273,346,404,350,0,0,0,0,0,0,0,0,0,0,0,0,78,81,44,52,119,121,32,38
1587550:Thermotoga sp. TBYP3.1.4.1,7905,4782,7289,4731,22909,21513,8796,8596,972,1171,1621,1113,1547,1089,1849,1876,1450,1490,1051,1096,804,892,1093,1072,839,842,16,0,0,12,6352,5906,3167,3009,59,70,47,54,0,0,0,0,0,0,0,0,0,0,0,0,59,77,40,40,8,5,6,3
568703:Lactobacillus rhamnosus GG,162,148,133,127,591,557,288,296,832,1001,1513,1059,1391,1038,7399,6496,7307,6521,14632,13284,10743,10186,3905,4731,4254,3693,1322,1488,1263,964,744,650,416,375,168,193,190,169,0,0,0,0,0,0,0,0,66,64,34,44,2683,3267,1813,2248,1052,914,312,128
645465:Streptomyces sp. e14,508,431,465,450,5710,5755,2154,2279,883,1109,9176,5792,8009,4923,7216,6951,5275,4855,3425,3403,2831,2820,3226,3478,2747,2776,1380,1474,831,678,3799,3657,2079,1991,327,542,544,324,0,0,0,0,0,0,0,0,0,0,0,0,533,641,413,443,1736,1669,335,169
591157:Streptomyces sp. SPB78,1136,901,960,785,8350,8291,3000,3187,865,993,637,450,579,409,8240,7877,8286,8004,11825,11553,5937,5902,3082,3221,2378,2451,209,206,123,127,262,261,149,132,716,1096,960,661,0,0,0,0,0,0,0,0,0,0,0,0,287,287,220,206,1012,973,83,124
431944:Magnetospirillum gryphiswaldense MSR-1,409,284,387,273,35,15,16,20,865,1128,13616,8320,12585,7902,4365,4359,3624,3678,6600,6289,4542,4589,3508,3585,2568,2677,2559,2520,1534,1376,928,949,443,436,1297,1368,1326,1151,0,0,0,0,0,0,0,0,0,0,0,0,1250,1390,801,858,9,2,10,7
1412460:Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090135,9669,6686,9230,7167,10,7,10,7,901,1123,4183,2802,4307,3092,2203,2361,1766,1866,2035,2165,1629,1821,1183,1017,779,897,9889,9216,5417,5374,1553,1637,771,867,1041,1330,1579,1193,0,0,0,0,0,0,0,0,0,0,0,0,398,417,284,239,999,1138,138,207
77133:uncultured bacterium,1690,1146,1515,1195,13,19,6,0,833,936,3880,2663,3553,2739,2851,2581,2067,1864,1197,1201,1102,1059,1293,1526,982,954,1357,1229,934,973,20557,19164,10717,10081,0,0,0,0,736,774,709,690,617,744,703,790,293,300,262,289,276,319,155,181,15,18,8,3
149539:Salmonella enterica subsp. enterica serovar Enteritidis,10525,7326,10074,7253,7,13,8,0,878,1096,10324,7122,9785,6953,337,332,232,261,229,249,192,182,151,151,91,106,903,1028,688,466,1805,1779,1087,968,588,672,673,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6845,6350,882,251
9606:Homo sapiens,5805,4943,4889,4605,14567,13243,6352,5885,843,1047,545,349,596,414,804,887,624,733,1067,1130,699,866,627,490,333,442,166,168,114,114,880,970,457,460,1069,1842,1750,1028,1071,1169,1147,1128,196,254,243,260,0,0,34,0,228,164,194,132,2516,2427,473,446
34765:Oikopleura dioica,4668,3873,4816,4271,14,18,7,0,681,821,3545,2464,3729,2552,3358,3688,2650,2762,4829,4991,2942,3161,1618,1565,1138,1196,5683,5281,3276,3365,1071,1105,550,607,209,279,298,233,0,0,0,0,0,0,0,0,0,0,0,0,786,791,537,554,245,327,52,40
575615:Prevotella sp. oral taxon 317 str. F0108,8640,7991,7838,7902,11,13,0,9,646,828,1740,1237,1656,1229,6135,5897,4749,4657,2362,2264,1768,1776,2051,2106,1402,1399,752,859,566,487,2133,2138,1155,1187,0,0,0,0,324,345,310,331,252,254,249,320,128,131,125,116,497,502,274,332,12,11,6,5
1234679:Carnobacterium maltaromaticum LMA28,549,384,482,411,10940,10656,3820,3808,651,805,553,390,483,366,3804,3604,3018,3118,3828,3781,3650,3754,2678,2653,2179,2207,22,14,16,18,1056,1088,647,584,2576,3062,2993,2451,0,0,0,0,67,69,68,92,42,33,0,34,526,592,353,379,48,54,23,29
1760:Actinobacteria,1338,1008,1190,1054,2498,2419,960,988,582,775,309,257,272,239,9636,8674,8664,7993,2247,2126,1661,1672,1222,1333,1070,1151,52,42,26,35,3754,3431,2156,1868,3468,2901,2386,2628,232,178,207,250,169,151,212,229,78,90,75,84,603,696,397,405,4,4,4,3
575599:Lactobacillus fermentum 28-3-CHN,187,153,166,186,16731,16592,5464,5515,616,731,0,0,0,0,3086,2982,2705,2538,3815,3664,2903,2982,2045,2178,1614,1607,19,21,18,13,1058,1031,645,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,125,68,65,2,4,4,0
562:Escherichia coli,21691,14305,20678,14519,13,12,10,9,698,878,1360,1032,1442,1025,0,0,0,0,52,49,24,36,129,170,77,70,57,55,22,33,523,479,225,263,0,0,0,0,46,52,46,59,0,0,0,0,0,0,0,0,42,0,0,0,239,205,31,34
1236:Gammaproteobacteria,2495,1740,2688,1747,222,231,96,77,685,792,6801,4935,6595,4774,1341,1257,1014,900,2975,2718,2282,2283,1372,1440,903,872,2659,2897,2083,1763,2584,2542,1466,1381,1042,999,973,917,288,319,293,330,171,226,186,223,228,252,214,243,251,289,166,198,353,344,140,88
570416:Bacillus thuringiensis serovar kurstaki str. YBT-1520,0,0,0,0,4439,4379,1703,1828,539,561,32,22,33,32,5957,6047,4735,4849,6381,6229,5246,5670,5333,5392,3739,3951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,177,91,124,0,6,1,3
186802:Clostridiales,76,49,43,51,0,0,0,0,526,808,57,53,65,40,2214,1989,1491,1263,347,297,462,475,1519,1734,830,743,1792,2078,1496,1277,1333,1221,818,704,329,433,412,292,3545,3771,3491,3644,3207,3737,3492,3939,2958,2950,2711,2839,2853,3297,1802,1949,0,0,1,0
91061:Bacilli,935,778,852,783,4522,4489,1953,1784,601,740,2013,1376,2146,1475,4436,4499,3297,3419,3328,3448,2554,2567,2101,1867,1348,1442,1162,1233,804,762,2456,2627,1292,1429,520,585,578,502,135,150,132,142,107,137,126,128,131,141,117,135,712,732,481,464,122,133,32,24
374840:Enterobacteria phage phiX174 sensu lato,0,0,0,0,0,0,0,0,42179,34325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1350:Enterococcus,717,702,567,655,3138,3254,1546,1503,462,648,3833,2641,3496,2351,2059,1905,1608,1385,3931,3746,2069,2009,1934,2268,1422,1355,1682,1976,1293,1065,1917,1618,1101,909,0,0,0,0,0,0,50,56,0,0,0,0,38,0,33,47,794,923,546,630,3,0,6,0
457431:Streptomyces roseosporus NRRL 15998,989,827,886,804,6,0,7,0,481,628,2793,1638,2396,1492,533,564,573,491,511,464,275,211,292,328,230,233,12278,13021,7405,6704,538,515,258,262,1030,1339,1246,858,0,0,0,0,0,0,0,0,55,72,96,109,70,83,46,66,486,441,49,50
98228:Bacillus sp. OxB-1,790,582,530,425,715,636,243,226,445,556,193,189,185,143,3989,3555,3269,2937,5684,5111,5251,5037,3740,4383,4129,3595,30,58,54,24,968,767,621,449,500,593,612,493,0,0,0,0,0,0,0,0,166,187,142,183,630,697,448,506,5,4,5,3
543:Enterobacteriaceae,7322,5448,7450,5411,112,81,51,53,609,728,2629,1749,2524,1785,242,227,128,156,113,90,96,98,121,151,70,82,875,871,730,592,4981,4757,2679,2431,190,244,228,168,203,195,186,217,155,197,231,239,59,84,86,70,111,140,73,73,2618,2513,410,247
1412594:Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121177,16491,9962,14271,9110,0,0,0,0,494,699,2214,1688,2255,1606,0,0,0,0,0,0,0,0,72,76,35,37,0,0,0,0,819,857,447,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,2
563036:Streptococcus sp. C300,88,58,81,76,9173,8358,3253,2858,488,550,1092,718,1053,737,2648,2672,2772,2856,4079,3955,2147,2174,1376,1344,1299,1260,109,102,57,64,95,115,55,71,689,667,716,577,0,0,0,0,0,0,0,0,0,0,0,0,115,123,104,87,4,8,2,2
3880:Medicago truncatula,1195,942,965,901,2894,2639,1294,1165,465,545,1339,957,1301,918,949,920,704,678,3794,3520,2510,2359,506,493,331,278,5271,5672,4033,3494,1111,1015,565,524,170,229,224,183,110,104,109,116,70,80,90,87,0,38,39,45,247,271,181,156,138,142,18,39
1064539:Azospirillum brasilense Sp245,113,88,96,93,9,13,0,6,402,596,2485,1590,2436,1637,2952,2835,2652,2872,5016,4760,2825,2867,2115,2234,1831,1994,616,719,424,332,2202,2063,1117,1002,0,0,0,0,0,0,0,0,0,0,0,0,38,52,31,0,767,780,528,558,66,48,11,10
1412469:Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120007,7917,5319,13530,9390,0,0,0,0,557,442,4058,2827,4192,2975,102,87,51,55,68,48,65,42,491,330,249,373,13,15,0,19,703,828,355,436,65,70,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91891:Legionella pneumophila subsp. pneumophila,1107,758,860,760,286,271,126,154,400,512,3439,2304,3253,2249,2042,1830,1371,1364,2921,2692,2683,2640,1483,1823,1080,869,1854,1973,1379,1108,1294,1303,743,644,422,504,477,375,0,0,0,0,0,0,0,0,0,0,0,0,678,815,473,603,305,310,55,23
554131:Thiomonas sp. CB2,1239,1023,1146,959,8,0,0,0,400,519,4305,2969,4099,2841,3215,2979,2536,2229,1968,1815,1733,1618,432,463,303,335,143,128,109,133,2577,2212,1367,1148,1182,1305,1149,1040,0,0,0,0,0,0,0,0,0,0,0,0,191,221,122,129,748,823,97,131
1239:Firmicutes,274,202,260,192,84,76,42,33,392,492,386,291,474,274,1821,1567,1050,957,493,489,483,457,938,1155,555,511,438,491,304,278,5460,5198,3469,3126,288,409,362,257,1299,1363,1246,1311,1400,1696,1574,1721,952,1051,927,989,1102,1370,670,791,6,7,5,2
186826:Lactobacillales,193,165,181,167,7364,7370,2730,2670,410,481,960,652,1040,729,1744,1838,1245,1434,1830,1968,1600,1927,1384,1226,900,972,402,438,281,233,1407,1362,765,781,96,135,179,109,157,132,152,160,102,108,104,106,163,201,151,175,330,295,205,187,16,29,2,4
47715:Lactobacillus rhamnosus,1220,918,856,743,3842,3393,1540,1409,359,515,793,529,669,484,2872,2539,2432,2114,3694,3372,3620,3170,971,1131,917,783,151,158,92,92,801,655,442,376,282,373,331,305,0,0,0,0,0,0,0,0,0,0,0,0,602,766,426,538,210,173,114,23
457391:Bacteroides sp. 3_1_33FAA,1624,1236,1418,1265,209,173,108,88,398,453,142,105,151,108,1256,1148,849,947,705,729,602,578,190,233,150,149,10857,10347,7119,6609,56,61,41,31,0,0,0,0,123,126,102,122,0,0,0,0,0,0,0,0,119,128,77,90,233,190,31,33
976:Bacteroidetes,859,645,828,702,0,0,0,0,386,468,309,225,326,209,2269,2434,1191,1220,1034,990,768,708,1484,1880,927,818,3089,3152,2166,2044,304,334,159,160,0,0,0,0,1365,1459,1407,1484,770,802,851,939,1068,1118,867,1009,1097,1259,651,700,172,175,28,29
1578:Lactobacillus,607,479,551,449,877,837,316,335,320,454,2784,1856,2580,1825,1955,1903,1460,1354,2151,2063,1660,1700,651,765,386,359,1003,1091,661,551,1442,1420,769,713,1060,1734,1509,896,125,151,118,128,123,147,127,150,94,80,81,58,358,442,249,292,20,18,3,7
936155:Helicobacter felis ATCC 49179,943,936,1136,960,618,651,256,271,379,397,1105,767,1253,906,4417,5081,3192,3576,1075,1534,731,858,926,890,567,572,0,0,0,11,3203,3551,1665,1920,295,339,332,298,0,0,0,0,0,0,0,0,0,0,0,0,69,63,45,35,2,0,3,0
1412479:Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094177,3193,2486,2036,1845,10,0,5,0,380,532,9322,6088,8393,5696,0,0,0,0,0,16,0,0,0,0,0,0,36,41,24,19,1531,1349,829,693,82,95,97,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8
29343:[Clostridium] cellulosi,674,603,504,509,0,0,0,0,297,466,2868,2080,2649,1865,1089,954,749,701,2457,2236,1723,1529,837,878,522,481,1782,2173,1429,1139,1731,1613,957,817,122,132,127,109,207,243,203,209,318,387,364,374,367,370,383,419,543,608,304,392,0,0,2,0
58024:Spermatophyta,712,591,635,606,1205,1196,505,480,293,371,980,720,1063,687,2067,1992,1595,1575,3954,3601,2905,2905,834,926,651,651,1250,1312,799,804,1186,1130,601,559,209,231,199,168,61,74,55,0,44,58,55,51,67,75,77,55,448,528,308,379,0,0,2,0
171549:Bacteroidales,88,63,79,77,0,0,0,0,337,455,165,102,139,98,708,669,380,368,183,161,181,176,1161,1386,679,695,1615,1644,1023,893,176,145,101,90,0,0,0,0,2907,2986,2827,3130,1035,1169,1165,1311,1760,1937,1514,1674,1809,2065,1078,1219,1,0,2,0
290338:Citrobacter koseri ATCC BAA-895,5247,3791,4474,3361,0,8,0,5,334,449,5872,4294,5502,3878,80,84,63,85,17,27,0,0,0,0,0,0,68,91,71,58,1159,1078,639,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,384,107,100
71275:rosids,132,106,137,116,134,136,60,59,310,366,2740,1863,2566,1845,2447,2257,1934,1851,3723,3641,2552,2492,725,769,539,543,75,74,49,57,661,628,408,403,453,591,588,401,66,85,70,75,74,70,81,85,35,40,32,0,675,724,521,536,99,108,19,15
41295:Rhodospirillaceae,1128,1005,1499,958,14,18,10,4,364,365,3263,2254,3035,2090,1241,1316,947,965,1366,1411,914,871,713,613,485,524,1835,1864,996,859,1736,1698,925,879,102,128,92,90,0,0,0,0,0,0,0,0,0,0,0,0,171,213,113,123,3,0,4,4
316435:Escherichia coli Nissle 1917,10512,6848,8837,6347,0,0,0,0,258,407,962,676,871,585,0,0,0,0,0,0,0,0,51,55,29,25,0,0,0,0,874,870,501,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
1247189:Streptococcus dysgalactiae subsp. equisimilis 167,36,40,39,0,4531,4585,2368,2224,306,338,179,155,199,140,2271,2048,1960,1731,1696,1528,1108,1030,1872,2185,1668,1440,0,0,0,0,417,424,250,203,94,116,132,93,0,0,0,0,0,0,0,0,0,0,0,0,296,350,203,275,2,0,1,3
710978:uncultured gamma proteobacterium HF0010_05D02,558,418,461,390,0,0,0,0,260,386,2980,2286,2708,2156,2786,2495,2003,1916,1060,992,909,856,913,1094,763,666,114,107,76,70,2169,1874,1356,1157,108,176,205,98,0,0,0,0,0,0,0,0,0,0,0,0,76,102,52,72,648,573,234,100
10847:Enterobacteria phage phiX174,0,0,0,0,0,0,0,0,21477,16911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104102:Acetobacter tropicalis,0,0,0,0,7,0,0,0,253,371,597,402,511,333,252,253,177,196,413,322,234,253,153,199,118,101,8978,10230,5590,4857,450,439,288,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,67,64,51,0,0,1,3
1496:Peptoclostridium difficile,144,135,130,140,2982,2732,1222,1163,284,325,506,318,582,452,1795,2032,1018,1303,1651,1892,1140,1190,610,647,359,380,247,295,179,165,1948,2858,1027,1379,0,0,0,0,125,146,135,142,113,156,157,140,217,223,186,191,211,215,132,148,2,0,2,0
6279:Brugia malayi,1555,1583,1292,1553,3613,3241,1459,1388,304,423,300,202,254,181,171,131,160,120,148,147,149,112,53,57,36,44,1609,1695,1001,914,412,345,205,171,1546,1969,1540,1112,0,0,0,0,0,0,0,0,0,0,0,0,50,46,26,29,1678,1362,532,153
417305:uncultured beta proteobacterium CBNPD1 BAC clone 578,1665,1327,1543,1397,0,0,4,0,307,453,5799,4515,5721,4390,102,86,65,83,366,332,291,288,0,0,0,0,413,467,251,264,383,346,196,213,483,805,769,391,0,0,0,0,0,0,0,0,48,50,36,0,0,0,0,0,5,6,3,6
6669:Daphnia pulex,6612,5048,5135,4489,117,106,44,43,246,365,3172,2316,2791,2176,72,66,50,35,19,17,0,18,0,0,0,0,0,0,0,0,239,223,168,162,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,1,0
11588:Rift Valley fever virus,0,24,0,0,0,0,0,4,14010,15584,0,15,0,23,285,205,41,52,86,59,287,235,179,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,167,142
710836:uncultured delta proteobacterium HF4000_08N17,209,166,183,160,4447,4730,1773,1896,268,278,798,617,720,619,1601,1652,1086,992,858,815,758,837,925,831,526,658,18,20,22,20,1072,1031,580,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,161,106,118,5,5,0,0
1412488:Salmonella enterica subsp. enterica serovar Enteritidis str. SA20082034,8054,4342,7463,4177,0,0,0,0,247,324,1315,940,1152,916,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,781,708,440,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1329250:Weissella oryzae SG25,363,286,391,254,3713,3543,1786,1533,222,250,177,149,156,127,1262,1200,986,917,1181,1098,939,937,806,946,787,716,0,0,0,0,1084,975,562,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,254,127,123,0,0,2,2
585145:Staphylococcus aureus subsp. aureus 65-1322,0,0,0,0,1221,1245,424,455,225,228,233,161,186,142,2917,2646,1648,1757,2303,2313,2239,2414,917,1025,561,607,0,0,0,0,0,53,37,33,170,179,210,132,0,0,0,0,0,0,0,0,0,0,0,0,435,455,296,273,37,32,6,19
561:Escherichia,3247,2200,3633,2527,0,0,0,0,300,512,1669,1209,1858,1224,0,0,0,0,0,0,0,0,1042,978,478,516,23,16,19,11,2151,2382,986,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4
91835:fabids,0,21,30,24,10,8,0,7,246,298,191,116,192,133,647,569,491,515,531,464,260,267,61,68,47,43,22,0,16,11,104,96,62,55,1046,1257,1043,731,0,0,0,0,0,0,0,0,0,0,0,0,96,118,58,70,8234,7113,1085,376
710740:uncultured Chromatiales bacterium HF0200_41F04,967,621,746,567,0,10,0,0,232,251,4974,3572,4794,3517,393,315,300,279,670,670,595,528,87,85,67,69,50,68,35,37,416,379,224,184,168,232,258,138,0,0,0,0,0,0,0,0,0,0,0,0,71,90,86,70,2,4,7,1
